Order ID,Order Date,Day,Country,City,Lat,Lng,Full Name,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Total Cost,Status,Gender
36,01/01/2023,Mon,USA,las vegas,36.1699,-115.1398,Muhamad Alaleppoy,Headphones,Bose QuietComfort,QC35 II,W242,5,299,177.0678,205.1738,False,Male
37,01/01/2023,Tue,France,paris,48.8566,2.3522,Majdy Alqadi,Smartphone,Xiaomi Mi,Xiaomi Mi 12,Y270,3,799,295.63,495.38,False,Female
38,01/01/2023,Tue,France,paris,48.8566,2.3522,Lama Hadalah,VR Headset,Pimax Vision,Pimax Vision 5K Super Plus,E365,6,999,179.82,422.577,True,Female
39,01/01/2023,Tue,USA,las vegas,36.1699,-115.1398,Omar Zyny,Laptop,ASUS ROG,ASUS ROG Strix Scar 17,X358,4,1999,1667.5658,387.806,True,Male
40,01/01/2023,Fri,Syria,aleppo,36.2021,37.1343,Husayn Eubayd,Digital Camera,Sony Alpha,Sony Alpha A6400,K923,4,899,2073.4536,200.6568,True,Female
41,01/01/2023,Tue,USA,new york,40.7128,-74.006,Khalid Abu,Laptop,Apple MacBook,"MacBook Pro 16""",U646,6,2399,332.5014,2161.2591,False,Female
42,01/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Muhamad Eurman,Smartwatch,Huawei Watch,Huawei Watch GT 3 Pro,H574,4,349,55.1769,162.285,False,Male
43,01/01/2023,Wed,Egypt,cairo,30.0444,31.2357,Husam Earabi,Smartphone,Xiaomi Redmi,Xiaomi Redmi 10,L025,3,199,50.7052,87.759,False,Female
44,01/01/2023,Wed,USA,washington,38.9072,-77.0369,Anwar Alaya,Fitness Tracker,Garmin Vivosmart,Garmin Vivosmart 4,R021,4,129,91.3836,74.7684,True,Female
45,01/01/2023,Tue,Syria,damascus,33.5146,36.3084,Alaa Aleaqla,Laptop,ASUS ROG,ASUS ROG Zephyrus G14,L106,8,1299,970.2231,919.8219,False,Male
46,01/01/2023,Tue,Morocco,casablanca,33.5731,7.5898,Lwy Alhasan,VR Headset,HP Reverb G2 Omnicept,HP Reverb G2 Omnicept,Y940,5,799,651.984,552.2688,False,Female
47,01/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Mazin Ayman,Smart Speaker,JBL Link,JBL Link 20,X358,3,99,59.5584,35.3628,True,Female
48,01/01/2023,Mon,United Arab Emirates,abu dhabi,24.4764,54.3705,Abd Alruhmin Alaishhab,Smartwatch,Samsung Galaxy,Galaxy Watch Active 2,X856,4,249,201.69,51.543,True,Male
49,01/01/2023,Mon,Morocco,casablanca,33.5731,7.5898,Mari Aleisaa,Fitness Tracker,Withings Move,Withings Move,J408,5,59,497.6532,182.2392,False,Female
50,01/01/2023,Mon,Syria,damascus,33.5146,36.3084,Zayn Bwalsibae,Smartwatch,Garmin Venu,Garmin Venu 2S,H016,4,349,239.414,331.7594,True,Female
51,01/01/2023,Tue,USA,las vegas,36.1699,-115.1398,Rwbyna Qisam,Gaming Console,Sony PlayStation,PlayStation 4 Pro,S190,3,399,2846.6256,4727.4318,True,Male
52,01/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Alaa Dwalyby,Tablet,Samsung Galaxy Tab,Galaxy Tab S7,R660,5,649,1612.116,35.046,True,Female
53,01/01/2023,Tue,Morocco,casablanca,33.5731,7.5898,Jihad Maeruf,Smartphone,OnePlus,OnePlus 10 Pro,J345,4,999,609.39,969.03,True,Female
54,01/01/2023,Mon,United Arab Emirates,dubai,25.2048,55.2708,Iin Kafa,Smart Speaker,Google Nest,Nest Audio,K140,3,99,18.711,84.645,True,Male
55,01/01/2023,Mon,Saudi Arabia,aseer,18.2311,42.5004,Duhana Almala,Tablet,Amazon Fire HD,Amazon Fire HD 8 Plus,J264,4,129,73.143,92.88,False,Female
56,01/01/2023,Tue,United Arab Emirates,abu dhabi,24.4764,54.3705,Hasan Khalf,VR Headset,Valve Index,Valve Index VR Kit 2,S149,3,1199,3065.6032,540.9888,False,Female
57,01/01/2023,Wed,Saudi Arabia,dammam,26.3927,49.9777,Omar Dawara,VR Headset,HTC Vive,HTC Vive Cosmos Elite,Z502,2,899,523.9372,1487.3056,True,Male
58,01/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Suzan Alhamadii,Smartphone,Xiaomi Redmi,Xiaomi Redmi Note 11 Pro,F340,4,299,65.78,526.24,True,Female
59,01/01/2023,Tue,Saudi Arabia,jeddah,21.5433,39.1728,Lilas Aghasi,Laptop,HP Pavilion,HP Pavilion x360,L700,4,649,559.6976,31.801,False,Female
60,01/01/2023,Tue,United Arab Emirates,dubai,25.2048,55.2708,Tariq Aldiyn,Smart Speaker,Sonos One,Sonos Move,G229,2,399,30.0048,82.5132,True,Male
61,01/01/2023,Mon,United Arab Emirates,dubai,25.2048,55.2708,Faras Abu Eadlh,Tablet,Amazon Fire,Amazon Fire 7,P412,5,49,36.064,22.9908,True,Female
62,01/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Ahmad Marwan,Laptop,Microsoft Surface,Surface Laptop 4,P344,4,1299,655.2156,189.0045,True,Female
63,01/01/2023,Mon,Saudi Arabia,dammam,26.3927,49.9777,Ayham Almala,Digital Camera,Nikon Coolpix,Nikon Coolpix P1000,C787,6,999,2508.489,7339.653,True,Male
64,01/01/2023,Tue,Saudi Arabia,dammam,26.3927,49.9777,Khalil Tyru,Smartphone,OnePlus,OnePlus Nord 2,P255,8,399,111.321,204.687,False,Female
65,01/01/2023,Mon,USA,new york,40.7498,-73.9814,Fulla Earabi,Smart Speaker,Amazon Echo,Echo Dot (4th Gen),S855,5,49,24.7401,11.6424,True,Female
66,01/01/2023,Fri,Syria,aleppo,36.2021,37.1343,Salam Alhizae,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,S348,7,129,68.9634,222.2154,True,Male
67,01/01/2023,Tue,Saudi Arabia,riyadh,24.7136,46.6753,Lana Hujah,Headphones,Sennheiser HD,Sennheiser HD 800 S,S501,3,1699,880.7616,587.1744,False,Female
68,01/01/2023,Sat,Saudi Arabia,jeddah,21.5433,39.1728,Faras Eaziza,Laptop,Lenovo ThinkPad,ThinkPad X13,Z227,7,999,283.9158,127.2726,True,Female
69,01/01/2023,Mon,USA,washington,38.9072,-77.0369,Tariq Ayman,Laptop,Lenovo ThinkPad,ThinkPad X13,J073,4,999,135.6642,310.0896,True,Male
70,01/01/2023,Tue,Syria,damascus,33.5146,36.3084,Almuetaz Hmshw,Digital Camera,Nikon Coolpix,Nikon Coolpix P1000,S395,5,999,300.3993,891.5076,True,Female
71,01/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Lwna Khalifih,Fitness Tracker,Garmin Approach,Garmin Approach S12,Y998,3,199,277.9632,146.7028,True,Female
72,01/01/2023,Mon,USA,washington,38.9072,-77.0369,Abd Alruhmin Malik,Tablet,Samsung Galaxy Tab,Galaxy Tab A7,Y590,3,179,254.538,173.988,False,Male
73,01/01/2023,Fri,United Arab Emirates,abu dhabi,24.4764,54.3705,Diea Salah,VR Headset,HTC Vive,HTC Vive Cosmos,Y958,3,699,302.2476,257.232,True,Female
74,01/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Muhamad Alnuwri,VR Headset,Oculus Rift,Oculus Rift S,O247,3,399,149.3856,15.3216,True,Female
75,01/01/2023,Wed,United Arab Emirates,dubai,25.2048,55.2708,Muhamad Bradey,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,B966,4,1199,706.211,512.5725,True,Male
76,01/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Tariq Almisri,Fitness Tracker,Amazfit GTR,Amazfit GTR 3,Y446,4,169,57.798,25.857,True,Female
77,01/01/2023,Mon,Egypt,cairo,30.0444,31.2357,Dinana Alealiu,Smart Speaker,Harman Kardon,Harman Kardon Citation,Y247,4,199,273.1076,347.9316,False,Female
78,01/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Muhamad Alkhawam,Smartwatch,Garmin Forerunner,Garmin Forerunner 945,H574,1,599,261.8229,317.5299,True,Male
79,01/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Ahmad Bara,Smart Speaker,Apple HomePod,Apple HomePod,J345,2,299,54.5376,180.8352,True,Female
80,01/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Bidralidin Zakianiin,Smartphone,Apple iPhone,iPhone SE,Z764,8,399,1431.612,4533.438,True,Female
81,01/01/2023,Wed,Saudi Arabia,aseer,18.2311,42.5004,Emam Qisam,Gaming Console,Sony PlayStation,PlayStation 5,E715,4,499,445.5072,239.52,True,Male
82,01/01/2023,Mon,Syria,aleppo,36.2021,37.1343,Rim Hamdan,Smartwatch,Samsung Galaxy,Galaxy Watch Active 2,Y518,4,249,162.6966,39.4416,True,Female
83,01/01/2023,Tue,USA,new york,40.7128,-74.006,Salim Astitih,Smartphone,Apple iPhone,iPhone 12,E804,3,899,720.099,574.461,True,Female
84,01/01/2023,Wed,USA,new york,40.7312,-73.9998,Khalid Eilwan,VR Headset,Oculus Rift S,Oculus Rift 2,Z612,5,499,69.86,249.5,True,Male
85,01/01/2023,Mon,United Arab Emirates,abu dhabi,24.4539,54.3773,Zahir Nasir,Gaming Console,Microsoft Xbox,Xbox Series S,B715,8,299,140.53,92.69,True,Female
86,01/01/2023,Mon,France,paris,48.8566,2.3522,Rim Almisri,Digital Camera,Sony Alpha,Sony Alpha A6400,C793,5,899,24.8124,744.372,True,Female
87,01/01/2023,Mon,USA,las vegas,36.1699,-115.1398,Lama Aldiyn,Laptop,Lenovo ThinkPad,ThinkPad X1 Carbon,I738,5,1499,366.3556,1380.8788,False,Male
88,01/01/2023,Mon,Egypt,cairo,30.0444,31.2357,Ahmad Abunfis,Tablet,Apple iPad,iPad Air,L841,3,649,128.1126,561.2552,True,Female
89,01/01/2023,Tue,Saudi Arabia,aseer,18.2311,42.5004,Mahir Aljuju,Smartphone,Google Pixel,Google Pixel 5a,X610,4,499,179.0911,445.3076,False,Female
90,01/01/2023,Tue,United Arab Emirates,dubai,25.2048,55.2708,Sandurana Alrifaei,Smart Speaker,Apple HomePod,Apple HomePod mini,U806,5,99,62.37,46.53,True,Male
91,01/01/2023,Wed,USA,washington,38.9072,-77.0369,Jalal Hajl,VR Headset,Pimax Vision,Pimax Vision 5K Super Plus,C793,4,999,1096.3026,111.4884,True,Female
92,01/01/2023,Wed,USA,las vegas,36.1699,-115.1398,Muwmin Altaynawi,Gaming Console,Sony PlayStation,PlayStation 3,L106,3,199,105.072,116.5344,False,Female
93,01/01/2023,Mon,USA,new york,40.7498,-73.9814,Muhamad Tyzry,Fitness Tracker,Fitbit Versa,Fitbit Versa 3,L028,4,229,86.104,34.4416,True,Male
94,01/01/2023,Mon,Syria,homs,34.7326,36.7136,Duhana Aljabr,Headphones,Anker Soundcore,Anker Soundcore Liberty Air 2 Pro,X906,2,99,51.9156,71.9532,True,Female
95,01/01/2023,Mon,Egypt,asyut,27.1809,31.1837,Rama Maeruf,Headphones,Bose QuietComfort,QC35 II,N658,4,299,2932.3528,2789.3112,False,Female
96,02/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Muhamad Alsyd,VR Headset,Oculus Quest,Oculus Quest 2 (256GB),E301,5,399,222.8814,31.2816,True,Male
97,02/01/2023,Tue,Saudi Arabia,jeddah,21.5433,39.1728,Alaa Alshiyraziu,Fitness Tracker,Huawei Band,Huawei Band 4 Pro,N969,5,49,17.64,2.45,True,Female
98,02/01/2023,Tue,Egypt,asyut,27.1809,31.1837,Faras Hamuwd,Digital Camera,Sony Alpha,Sony Alpha A6400,B265,4,899,647.28,1528.3,False,Female
99,02/01/2023,Wed,Saudi Arabia,aseer,18.2311,42.5004,Duhana Alhabis,Smart Speaker,Harman Kardon,Harman Kardon Allure,J753,5,249,65.2131,219.7923,True,Male
100,02/01/2023,Tue,United Arab Emirates,abu dhabi,24.4539,54.3773,Rwad Eazu,Smartwatch,Fossil Gen,Fossil Gen 5E,M073,3,199,68.4759,149.9067,True,Female
101,02/01/2023,Tue,USA,las vegas,36.1699,-115.1398,Ahmad Jamul,Smartphone,Google Pixel,Google Pixel 6 Pro,K012,3,899,396.9984,330.832,True,Female
102,02/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Eala Alhilaq,VR Headset,HTC Vive Pro,HTC Vive Pro 2,M137,4,1099,408.828,388.3866,False,Male
103,02/01/2023,Wed,Saudi Arabia,jeddah,21.4858,39.1925,Bilal Aljawfani,Gaming Console,Nintendo Switch,Nintendo Switch OLED Pro,L412,5,449,177.804,113.148,True,Female
104,02/01/2023,Sun,Saudi Arabia,dammam,26.3927,49.9777,Antuan Eurman,Gaming Console,Sony PlayStation,PlayStation 3 Slim,I917,5,199,156.016,183.3188,True,Female
105,02/01/2023,Mon,France,paris,48.8566,2.3522,Lama Brnbu,Gaming Console,Microsoft Xbox,Xbox One X,U290,7,299,125.9986,225.6254,False,Male
106,02/01/2023,Fri,Syria,homs,34.7326,36.7136,Tana Almala,VR Headset,HTC Vive,HTC Vive Cosmos,G599,4,699,623.3682,568.5666,True,Female
107,02/01/2023,Mon,United Arab Emirates,abu dhabi,24.4764,54.3705,Eala Qahraman,Smartphone,Samsung Galaxy,Galaxy M32,I838,7,249,162.099,143.5734,True,Female
108,02/01/2023,Wed,Saudi Arabia,riyadh,24.7136,46.6753,Sabah Qaziyha,Laptop,Dell XPS,XPS 15,D873,3,1599,1163.2725,713.4738,True,Male
109,02/01/2023,Tue,France,paris,48.8566,2.3522,Ailya Alrahil,Tablet,Microsoft Surface,Surface Go 2,I470,4,399,172.368,154.413,True,Female
110,02/01/2023,Tue,USA,las vegas,36.1699,-115.1398,Rabye' Abuhani,Fitness Tracker,Withings Move,Withings Move,R426,7,59,14.7264,8.496,False,Female
111,02/01/2023,Thu,Syria,aleppo,36.2021,37.1343,Muhamad Aleabd,Laptop,Apple MacBook,"MacBook Air 13""",N639,8,999,234.9648,6226.5672,True,Male
112,02/01/2023,Mon,USA,new york,40.7498,-73.9814,Omar Alealbi,Headphones,Bose SoundSport,Bose SoundSport Free,E365,3,179,10.4178,46.8801,True,Female
113,02/01/2023,Wed,USA,las vegas,36.1699,-115.1398,Muhamad Aljuju,Laptop,HP Pavilion,HP Pavilion 15,G557,4,799,101.7926,133.1134,True,Female
114,02/01/2023,Tue,Saudi Arabia,dammam,26.3927,49.9777,Ehab Alghumyan,Smart Speaker,Sonos One,Sonos One SL,L700,3,179,36.0864,87.6384,False,Male
115,02/01/2023,Tue,Saudi Arabia,aseer,18.2311,42.5004,Mazin Alkhayran,Fitness Tracker,Garmin Approach,Garmin Approach S62,N985,4,499,361.9746,426.9444,True,Female
116,02/01/2023,Mon,Egypt,asyut,27.1809,31.1837,Jamal Sybea,Digital Camera,Nikon Z Series,Nikon Z50,C787,5,799,608.3586,210.2968,True,Female
117,02/01/2023,Mon,Egypt,asyut,27.1809,31.1837,Diea Muayid,Fitness Tracker,Fitbit Charge,Fitbit Charge 4,H016,4,149,8.4036,46.2198,True,Male
118,02/01/2023,Tue,Syria,aleppo,36.2021,37.1343,Muhamad Iidlibi,Headphones,Sennheiser HD,Sennheiser HD 599 SE,R236,4,199,68.058,148.653,False,Female
119,02/01/2023,Tue,Saudi Arabia,aseer,18.2311,42.5004,Eala Aldahan,Tablet,Samsung Galaxy Tab,Galaxy Tab S7,B112,4,649,561.2552,447.81,False,Female
120,02/01/2023,Tue,United Arab Emirates,abu dhabi,24.4764,54.3705,Amir Alhiwat,Digital Camera,Olympus OM-D,Olympus OM-D E-M1 Mark III,I729,3,1999,1215.392,1424.2875,False,Male
121,02/01/2023,Tue,USA,las vegas,36.1699,-115.1398,Lama Alkhatib,Smartwatch,Fossil Gen,Fossil Gen 6,L106,4,299,155.7192,61.1754,True,Female
122,02/01/2023,Wed,USA,las vegas,36.1699,-115.1398,Muhamad Alsaediu,Fitness Tracker,Fitbit Charge,Fitbit Charge 3,U470,4,99,10.2366,90.2682,True,Female
123,02/01/2023,Wed,United Arab Emirates,abu dhabi,24.4764,54.3705,Fuad Alhabash,Fitness Tracker,Fitbit Versa,Fitbit Versa 3,Q628,3,229,246.2208,417.696,True,Male
124,02/01/2023,Tue,USA,washington,38.9072,-77.0369,Jury Khalid,Digital Camera,Sony Cyber-shot,Sony Cyber-shot RX100 VII,W206,4,1199,528.759,282.0048,True,Female
125,02/01/2023,Tue,Egypt,asyut,27.1809,31.1837,Iilyas Alshaykh,Laptop,ASUS ROG,ASUS ROG Strix Scar 17,G267,3,1999,593.703,613.4931,False,Female
126,02/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Khadijah Alaishhab,Laptop,Acer Swift,Acer Swift 3,Y590,4,699,704.592,301.968,True,Male
127,02/01/2023,Sun,Syria,homs,34.7326,36.7136,Muwmin Hanna,Fitness Tracker,Amazfit GTR,Amazfit GTR 3,X358,4,169,92.0205,78.6357,True,Female
128,02/01/2023,Wed,Egypt,cairo,30.0444,31.2357,Rana Almunzilijiu,Gaming Console,Nintendo Switch,Nintendo Switch Pro,H899,4,399,189.2457,319.1202,False,Female
129,02/01/2023,Tue,USA,washington,38.9072,-77.0369,Rana Salih,Smartwatch,Garmin Fenix,Garmin Fenix 7,K406,6,699,39.843,557.802,False,Male
130,02/01/2023,Tue,United Arab Emirates,abu dhabi,24.4764,54.3705,Ikhlas Alshueranii,Smartwatch,Garmin Forerunner,Garmin Forerunner 55,Z826,5,199,96.2364,149.9067,True,Female
131,02/01/2023,Tue,Saudi Arabia,jeddah,21.5433,39.1728,Iad Dulul,Gaming Console,Microsoft Xbox,Xbox 360,C793,4,149,81.7563,31.8711,False,Female
132,02/01/2023,Wed,Saudi Arabia,jeddah,21.5433,39.1728,Juri Altarah,Smartphone,OnePlus,OnePlus 9 Pro,F655,4,899,537.4222,828.1588,True,Male
133,02/01/2023,Mon,Syria,damascus,33.5146,36.3084,Rami Hujah,Smartwatch,Garmin Venu,Garmin Venu 2S,E437,3,349,53.397,273.267,False,Female
134,02/01/2023,Thu,United Arab Emirates,abu dhabi,24.4539,54.3773,Iin Almala,Smart Speaker,Amazon Echo,Echo Show 8,W221,2,129,116.3709,9.5976,True,Female
135,02/01/2023,Mon,Saudi Arabia,riyadh,24.7136,46.6753,Abd Alrazzaq Nuna,Tablet,Amazon Fire,Amazon Fire 7,F792,7,49,13.5828,20.3742,True,Male
136,02/01/2023,Wed,USA,las vegas,36.1699,-115.1398,Mazin Nieamah,Laptop,Apple MacBook,"MacBook Pro 16""",Y368,1,2399,2072.736,2072.736,True,Female
137,02/01/2023,Mon,USA,las vegas,36.1699,-115.1398,Muhamad Zynu,Tablet,Samsung Galaxy Tab,Galaxy Tab A8,T351,5,199,34.029,161.19,False,Female
138,02/01/2023,Tue,USA,las vegas,36.1699,-115.1398,Ayham Aleid,Laptop,Acer Swift,Acer Swift 3,H320,4,699,359.8452,297.5643,False,Male
139,02/01/2023,Mon,Saudi Arabia,riyadh,24.7136,46.6753,Rasha Jumea,Headphones,Jabra Elite,Jabra Elite 85t,D873,3,229,153.43,178.62,True,Female
140,02/01/2023,Tue,Syria,damascus,33.5138,36.2765,Lwy Alealbi,Smartwatch,Apple Watch,Apple Watch SE,X915,4,279,198.369,180.792,False,Female
141,02/01/2023,Mon,Syria,damascus,33.5138,36.2765,Ranya Eitaya,Gaming Console,Sony PlayStation,PlayStation 5,X847,8,499,306.5856,459.8784,True,Male
142,02/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Fadi Yuzbik,Laptop,Lenovo Legion,Lenovo Legion 5,C068,4,1099,187.929,375.858,True,Female
143,02/01/2023,Mon,USA,las vegas,36.1699,-115.1398,Muhamad Eijrush,Laptop,Lenovo Legion,Lenovo Legion 7i,L700,3,1499,3677.6466,3550.8312,False,Female
144,02/01/2023,Tue,Saudi Arabia,riyadh,24.7136,46.6753,Duhana Shannar,Headphones,Jabra Elite,Jabra Elite 75t,K406,4,179,118.1937,113.1996,True,Male
145,02/01/2023,Tue,Syria,damascus,33.5146,36.3084,Ayham Allaadhiqanii,VR Headset,Oculus Quest,Oculus Quest 3,S988,5,599,345.024,189.7632,True,Female
146,02/01/2023,Tue,France,paris,48.8566,2.3522,Muhamad Allaadhiqanii,Gaming Console,Sony PlayStation,PlayStation 3,X906,4,199,98.306,24.5765,True,Female
147,02/01/2023,Mon,United Arab Emirates,abu dhabi,24.4764,54.3705,Fatnh Musaa,Digital Camera,Nikon Z Series,Nikon Z7 II,V007,3,2299,3791.051,2453.033,True,Male
148,02/01/2023,Tue,Egypt,asyut,27.1809,31.1837,Mahir Alkhayrat,Tablet,Apple iPad,"iPad Pro 12.9""",F064,3,999,854.5446,788.8104,False,Female
149,02/01/2023,Mon,Saudi Arabia,jeddah,21.5433,39.1728,Muhamad Alqadi,Gaming Console,Retro Console,Super NES Classic,C068,4,99,80.784,36.1152,True,Female
150,02/01/2023,Tue,United Arab Emirates,abu dhabi,24.4539,54.3773,Susin Drwysh,Smart Speaker,Harman Kardon,Harman Kardon Allure,R823,3,249,23.157,201.4659,True,Male
